Category,State,Rank,HS Code,Description,Value2017,Value2018,Value2019,Value2020,Share2017,Share2018,Share2019,Share2020
Import,ID,21,903082,INST & APP W/A RECORDING DEVICE DESIGNED TO CHECK,20,26,27,35,0.3,0.4,0.5,0.6
Import,ID,22,870120,ROAD TRACTORS FOR SEMI-TRAILERS,40,48,33,29,0.7,0.7,0.7,0.5
Import,ID,23,903090,PARTS AND ACCESSORIES OF INSTRUMENTS AND APPARATUS,28,19,41,28,0.5,0.3,0.8,0.5
Import,ID,24,120991,VEGETABLE SEEDS FOR SOWING,11,14,29,26,0.2,0.2,0.6,0.5
Import,ID,25,470329,"CHEMICAL WOODPULP, SODA OR SULFATE, OTHER THAN DIS",26,41,38,26,0.5,0.6,0.7,0.5
Export,IL,-1,0,Total_25,19599,20159,19334,18230,30.0,30.8,32.4,34.1
Export,IL,1,300490,"MEDICAMENTS, IN MEASURED DOSES, ETC. (EXCLUDING VA",1395,1295,1482,1992,2.1,2.0,2.5,3.7
Export,IL,2,870410,DUMPERS (DUMP TRUCKS) DESIGNED FOR OFF-HIGHWAY USE,1275,1238,1574,1904,2.0,1.9,2.6,3.6
Export,IL,3,300212,ANTISERA AND OTHER BLOOD FRACTIONS,669,1222,1645,1546,1.0,1.9,2.8,2.9
Export,IL,4,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",1337,1509,1379,1495,2.0,2.3,2.3,2.8
Export,IL,5,230330,"BREWING OR DISTILLING DREGS AND WASTE, WHETHER OR",512,791,685,904,0.8,1.2,1.1,1.7
Export,IL,6,382200,"COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, OTHER",484,447,462,801,0.7,0.7,0.8,1.5
Export,IL,7,120190,"SOYBEANS, OTHER THAN SEED",2067,1085,798,786,3.2,1.7,1.3,1.5
Export,IL,8,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",1036,1159,1136,711,1.6,1.8,1.9,1.3
Export,IL,9,271012,LIGHT OILS AND PREPARATIONS CONTAINING GT=70% BY W,2960,3157,1892,706,4.5,4.8,3.2,1.3
Export,IL,10,870899,"PARTS AND ACCESSORIES FOR MOTOR VEHICLES, NESOI",1003,976,893,695,1.5,1.5,1.5,1.3
Export,IL,11,851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRE,1236,1238,1230,693,1.9,1.9,2.1,1.3
Export,IL,12,300290,HUMAN BLOOD; ANIMAL BLOOD PREPARED FOR THERAPEUTIC,22,33,101,689,0.0,0.1,0.2,1.3
Export,IL,13,843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES",637,810,810,643,1.0,1.2,1.4,1.2
Export,IL,14,870323,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,696,483,500,591,1.1,0.7,0.8,1.1
Export,IL,15,100590,"CORN (MAIZE), OTHER THAN SEED CORN",433,829,947,480,0.7,1.3,1.6,0.9
Export,IL,16,848180,"TAPS, COCKS, VALVES AND SIMILAR APPLIANCES FOR PIP",419,477,471,405,0.6,0.7,0.8,0.8
Export,IL,17,870130,TRACK-LAYING TRACTORS,256,437,517,390,0.4,0.7,0.9,0.7
Export,IL,18,300215,"IMMUNOLOGICAL PRODUCTS, PUT UP IN MEASURED DOSES O",16,109,224,390,0.0,0.2,0.4,0.7
Export,IL,19,853710,"BOARDS, PANELS, CONSOLES, ETC. WITH ELECTRICAL APP",680,631,508,389,1.0,1.0,0.9,0.7
Export,IL,20,392690,"ARTICLES OF PLASTICS, NESOI",392,378,358,373,0.6,0.6,0.6,0.7
Export,IL,21,840999,PARTS FOR USE WITH COMPRESSION-IGNITION INTERNAL C,536,500,438,368,0.8,0.8,0.7,0.7
Export,IL,22,901819,ELECTRO-DIAGNOSTIC APPARATUS (AND APPARATUS FOR FU,335,212,221,330,0.5,0.3,0.4,0.6
Export,IL,23,20329,"MEAT OF SWINE, NESOI, FROZEN",209,255,277,319,0.3,0.4,0.5,0.6
Export,IL,24,210690,FOOD PREPARATIONS NESOI,443,400,377,316,0.7,0.6,0.6,0.6
Export,IL,25,842951,"MECHANICAL FRONT-END SHOVEL LOADERS, SELF-PROPELLE",551,491,410,313,0.8,0.7,0.7,0.6
Import,IL,-1,0,Total_25,63284,77363,83793,80882,46.6,49.3,51.2,51.9
Import,IL,1,851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRE,11829,15088,16384,18755,8.7,9.6,10.0,12.0
Import,IL,2,270900,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS,",20187,25215,25102,17046,14.9,16.1,15.3,10.9
Import,IL,3,847130,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES,",3719,5794,7881,12371,2.7,3.7,4.8,7.9
Import,IL,4,300490,"MEDICAMENTS, IN MEASURED DOSES, ETC. (EXCLUDING VA",3091,4950,5254,5320,2.3,3.2,3.2,3.4
Import,IL,5,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",6845,7956,7367,4329,5.0,5.1,4.5,2.8
Import,IL,6,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",1792,2598,3370,4082,1.3,1.7,2.1,2.6
Import,IL,7,220300,BEER MADE FROM MALT,2834,3102,3481,3727,2.1,2.0,2.1,2.4
Import,IL,8,300215,"IMMUNOLOGICAL PRODUCTS, PUT UP IN MEASURED DOSES O",198,513,1500,2474,0.1,0.3,0.9,1.6
Import,IL,9,841112,TURBOJETS OF A THRUST EXCEEDING 25 KN,1787,2312,3210,1475,1.3,1.5,2.0,0.9
Import,IL,10,950450,"VIDEO GAME CONSOLES AND MACHINES, OTHER THAN THOSE",1120,797,1016,1284,0.8,0.5,0.6,0.8
Import,IL,11,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI (OTHER THAN POW",21,25,249,1198,0.0,0.0,0.2,0.8
Import,IL,12,630790,"MADE-UP TEXTILE ARTICLES, NESOI",218,218,233,1156,0.2,0.1,0.1,0.7
Import,IL,13,853710,"BOARDS, PANELS, CONSOLES, ETC. WITH ELECTRICAL APP",1416,1441,1372,772,1.0,0.9,0.8,0.5
Import,IL,14,850440,ELECTRICAL STATIC CONVERTERS; POWER SUPPLIES FOR A,874,915,755,725,0.6,0.6,0.5,0.5
Import,IL,15,271121,"NATURAL GAS, GASEOUS",1317,1256,1105,718,1.0,0.8,0.7,0.5
Import,IL,16,870899,"PARTS AND ACCESSORIES FOR MOTOR VEHICLES, NESOI",874,889,787,700,0.6,0.6,0.5,0.4
Import,IL,17,852580,"TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAME",696,606,538,581,0.5,0.4,0.3,0.4
Import,IL,18,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NESOI",1211,846,802,553,0.9,0.5,0.5,0.4
Import,IL,19,870830,BRAKES AND SERVO-BRAKES; PARTS THEREOF,460,526,483,550,0.3,0.3,0.3,0.4
Import,IL,20,844399,"PARTS AND ACCESSORIES OF PRINTERS, COPYING MACHINE",542,358,431,529,0.4,0.2,0.3,0.3
Import,IL,21,852852,OTHER MONITORS CAPABLE OF DIRECTLY CONNECTING TO A,338,366,459,515,0.2,0.2,0.3,0.3
Import,IL,22,401110,"NEW PNEUMATIC TIRES, OF RUBBER, OF A KIND USED ON",488,619,635,510,0.4,0.4,0.4,0.3
Import,IL,23,950300,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELE",591,441,511,505,0.4,0.3,0.3,0.3
Import,IL,24,392690,"ARTICLES OF PLASTICS, NESOI",507,496,538,503,0.4,0.3,0.3,0.3
Import,IL,25,870194,"TRACTORS (OTHER THAN TRACTORS OF HEADING 8709), EX",329,32,329,503,0.2,0.0,0.2,0.3
Export,IN,-1,0,Total_25,19124,19963,20935,18651,50.7,50.8,53.3,52.9
Export,IN,1,300490,"MEDICAMENTS, IN MEASURED DOSES, ETC. (EXCLUDING VA",3468,2672,2955,3636,9.2,6.8,7.5,10.3
Export,IN,2,300215,"IMMUNOLOGICAL PRODUCTS, PUT UP IN MEASURED DOSES O",1600,2210,1674,1786,4.2,5.6,4.3,5.1
Export,IN,3,870840,GEAR BOXES FOR MOTOR VEHICLES,2275,2415,2281,1574,6.0,6.1,5.8,4.5
Export,IN,4,870431,"MOTOR VEHICLES FOR GOODS TRANSPORT NESOI, WITH SPA",1070,704,2085,1270,2.8,1.8,5.3,3.6
Export,IN,5,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",1381,1726,1708,1264,3.7,4.4,4.3,3.6
Export,IN,6,840820,COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON EN,1210,1189,1420,1162,3.2,3.0,3.6,3.3
Export,IN,7,902131,ARTIFICIAL JOINTS AND PARTS AND ACCESSORIES THEREO,874,951,983,814,2.3,2.4,2.5,2.3
Export,IN,8,382200,"COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, OTHER",579,645,680,788,1.5,1.6,1.7,2.2
Export,IN,9,870324,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,1607,1734,1440,679,4.3,4.4,3.7,1.9
Export,IN,10,871610,TRAILERS AND SEMI-TRAILERS FOR HOUSING OR CAMPING,940,1113,820,605,2.5,2.8,2.1,1.7
Export,IN,11,293712,INSULIN AND ITS SALTS,537,553,521,554,1.4,1.4,1.3,1.6
Export,IN,12,300439,"MEDICAMENTS, IN MEASURED DOSES, ETC., CONTAINING H",13,18,262,520,0.0,0.0,0.7,1.5
Export,IN,13,901839,"MEDICAL ETC. NEEDLES NESOI, CATHETERS, CANNULAE AN",481,512,530,454,1.3,1.3,1.3,1.3
Export,IN,14,870323,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,457,519,524,452,1.2,1.3,1.3,1.3
Export,IN,15,901890,"INSTRUMENTS AND APPLIANCES FOR MEDICAL, SURGICAL O",428,449,477,433,1.1,1.1,1.2,1.2
Export,IN,16,842139,FILTERING OR PURIFYING MACHINERY AND APPARATUS FOR,369,477,466,393,1.0,1.2,1.2,1.1
Export,IN,17,870899,"PARTS AND ACCESSORIES FOR MOTOR VEHICLES, NESOI",528,559,467,328,1.4,1.4,1.2,0.9
Export,IN,18,870340,"PASSENGER MOTOR VEHICLES, WITH BOTH APRK-IG INTRNL",44,66,89,321,0.1,0.2,0.2,0.9
Export,IN,19,870829,PARTS AND ACCESSORIES OF BODIES (INCLUDING CABS) F,363,404,365,256,1.0,1.0,0.9,0.7
Export,IN,20,300431,"MEDICAMENTS, IN MEASURED DOSES, ETC., CONTAINING I",211,165,211,248,0.6,0.4,0.5,0.7
Export,IN,21,840991,PARTS FOR USE WITH SPARK-IGNITION INTERNAL COMBUST,151,173,241,247,0.4,0.4,0.6,0.7
Export,IN,22,850440,ELECTRICAL STATIC CONVERTERS; POWER SUPPLIES FOR A,125,200,223,229,0.3,0.5,0.6,0.7
Export,IN,23,850213,GENERATING SETS WITH COMPRESSION-IGNITION INTERNAL,130,167,188,225,0.3,0.4,0.5,0.6
Export,IN,24,853890,PARTS FOR ELECTRICAL APPARATUS FOR ELECTRICAL CIRC,100,110,131,211,0.3,0.3,0.3,0.6
Export,IN,25,902110,ORTHOPEDIC OR FRACTURE APPLIANCES; PARTS AND ACCES,183,233,196,203,0.5,0.6,0.5,0.6
Import,IN,-1,0,Total_25,15115,21842,28953,30676,27.8,35.4,44.8,48.0
Import,IN,1,300439,"MEDICAMENTS, IN MEASURED DOSES, ETC., CONTAINING H",2351,3146,5569,6808,4.3,5.1,8.6,10.7
Import,IN,2,300214,"IMMUNOLOGICAL PRODUCTS, MIXED, NOT PUT UP IN MEASU",66,2248,2778,3518,0.1,3.6,4.3,5.5
Import,IN,3,293719,"POLYPEPTIDE, PROTEIN AND GLYCOPROTEIN HORMONES, TH",21,20,1918,3172,0.0,0.0,3.0,5.0
Import,IN,4,300212,ANTISERA AND OTHER BLOOD FRACTIONS,1648,2588,2967,2997,3.0,4.2,4.6,4.7
Import,IN,5,300490,"MEDICAMENTS, IN MEASURED DOSES, ETC. (EXCLUDING VA",1530,1671,1979,2465,2.8,2.7,3.1,3.9
Import,IN,6,293299,HETEROCYCLIC COMPOUNDS WITH OXYGEN HETERO-ATOMS(S),383,689,639,1174,0.7,1.1,1.0,1.8
Import,IN,7,870840,GEAR BOXES FOR MOTOR VEHICLES,1706,1980,1571,1086,3.1,3.2,2.4,1.7
Import,IN,8,293410,HETEROCYCLIC COMPOUNDS CONTAINING AN UNFUSED TRIAZ,644,751,1315,906,1.2,1.2,2.0,1.4
Import,IN,9,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",541,790,908,743,1.0,1.3,1.4,1.2
Import,IN,10,902131,ARTIFICIAL JOINTS AND PARTS AND ACCESSORIES THEREO,856,956,796,742,1.6,1.6,1.2,1.2
Import,IN,11,901890,"INSTRUMENTS AND APPLIANCES FOR MEDICAL, SURGICAL O",515,608,853,701,0.9,1.0,1.3,1.1
Import,IN,12,870899,"PARTS AND ACCESSORIES FOR MOTOR VEHICLES, NESOI",817,997,978,682,1.5,1.6,1.5,1.1
Import,IN,13,841191,PARTS OF TURBOJETS OR TURBOPROPELLERS,265,537,1203,559,0.5,0.9,1.9,0.9
Import,IN,14,853710,"BOARDS, PANELS, CONSOLES, ETC. WITH ELECTRICAL APP",166,240,463,552,0.3,0.4,0.7,0.9
Import,IN,15,293359,HETEROCYCLIC COMPOUNDS CONTAINING A PYRIMIDINE RIN,1306,1601,1489,523,2.4,2.6,2.3,0.8
Import,IN,16,293499,"NUCLEIC ACIDS AND THERE SALTS, WHETER OR NOT CHEMI",145,102,125,470,0.3,0.2,0.2,0.7
Import,IN,17,850440,ELECTRICAL STATIC CONVERTERS; POWER SUPPLIES FOR A,278,313,352,462,0.5,0.5,0.5,0.7
Import,IN,18,310420,POTASSIUM CHLORIDE,333,371,485,436,0.6,0.6,0.8,0.7
Import,IN,19,300660,CHEMICAL CONTRACEPTIVE PREPARATIONS BASED ON HORMO,0,0,216,433,0.0,0.0,0.3,0.7
Import,IN,20,844331,MACHINES WHICH PERFORM TWO OR MORE OF THE FUNCTION,198,405,396,399,0.4,0.7,0.6,0.6
Import,IN,21,840999,PARTS FOR USE WITH COMPRESSION-IGNITION INTERNAL C,281,373,403,396,0.5,0.6,0.6,0.6
Import,IN,22,840991,PARTS FOR USE WITH SPARK-IGNITION INTERNAL COMBUST,261,450,469,380,0.5,0.7,0.7,0.6
Import,IN,23,870829,PARTS AND ACCESSORIES OF BODIES (INCLUDING CABS) F,387,415,429,376,0.7,0.7,0.7,0.6
Import,IN,24,844399,"PARTS AND ACCESSORIES OF PRINTERS, COPYING MACHINE",184,276,293,350,0.3,0.4,0.5,0.5
Import,IN,25,940190,"PARTS OF SEATS (EXCEPT PARTS OF MEDICAL, DENTIST',",236,317,362,345,0.4,0.5,0.6,0.5
Export,IA,-1,0,Total_25,6352,7300,6429,6340,47.3,50.8,48.6,50.2
Export,IA,1,100590,"CORN (MAIZE), OTHER THAN SEED CORN",1184,1441,759,823,8.8,10.0,5.7,6.5
Export,IA,2,870195,TRACTORS (OTHER THAN TRACTORS OF HEADING 8709) EXC,747,812,758,733,5.6,5.6,5.7,5.8
Export,IA,3,20329,"MEAT OF SWINE, NESOI, FROZEN",357,401,465,611,2.7,2.8,3.5,4.8
Export,IA,4,20319,"MEAT OF SWINE, NESOI, FRESH OR CHILLED",442,399,383,446,3.3,2.8,2.9,3.5
Export,IA,5,230400,SOYBEAN OILCAKE AND OTHER SOLID RESIDUES RESULTING,256,334,432,385,1.9,2.3,3.3,3.0
Export,IA,6,120190,"SOYBEANS, OTHER THAN SEED",181,446,218,366,1.4,3.1,1.6,2.9
Export,IA,7,380893,"HERBACIDES, ANTISPROUTING PRODUCTS AND PLANT-GROWT",394,397,368,359,2.9,2.8,2.8,2.8
Export,IA,8,20130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",176,207,230,242,1.3,1.4,1.7,1.9
Export,IA,9,843351,COMBINE HARVESTER-THRESHERS,45,171,334,229,0.3,1.2,2.5,1.8
Export,IA,10,230330,"BREWING OR DISTILLING DREGS AND WASTE, WHETHER OR",349,385,291,213,2.6,2.7,2.2,1.7
Export,IA,11,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",281,308,320,195,2.1,2.1,2.4,1.5
Export,IA,12,261310,"MOLYBDENUM ORES AND CONCENTRATES, ROASTED",155,171,257,188,1.2,1.2,1.9,1.5
Export,IA,13,20649,"OFFAL OF SWINE EXCEPT LIVERS, EDIBLE, FROZEN",214,150,101,151,1.6,1.0,0.8,1.2
Export,IA,14,382200,"COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, OTHER",99,114,128,151,0.7,0.8,1.0,1.2
Export,IA,15,230990,"ANIMAL FEED PREPARATIONS (MIXED FEEDS, ETC.), OTHE",150,141,141,140,1.1,1.0,1.1,1.1
Export,IA,16,760612,ALUMINUM ALLOY RECTANGULAR (INCLUDING SQUARE) PLAT,207,173,174,134,1.5,1.2,1.3,1.1
Export,IA,17,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",135,181,172,127,1.0,1.3,1.3,1.0
Export,IA,18,901890,"INSTRUMENTS AND APPLIANCES FOR MEDICAL, SURGICAL O",102,65,76,123,0.8,0.5,0.6,1.0
Export,IA,19,220720,"ETHYL ALCOHOL AND OTHER SPIRITS, DENATURED, OF ANY",191,187,151,117,1.4,1.3,1.1,0.9
Export,IA,20,842951,"MECHANICAL FRONT-END SHOVEL LOADERS, SELF-PROPELLE",168,221,146,113,1.3,1.5,1.1,0.9
Export,IA,21,350790,"ENZYMES AND PREPARED ENZYMES, NESOI",74,81,89,108,0.6,0.6,0.7,0.9
Export,IA,22,870899,"PARTS AND ACCESSORIES FOR MOTOR VEHICLES, NESOI",86,120,112,102,0.6,0.8,0.8,0.8
Export,IA,23,870590,"SPECIAL PURPOSE VEHICLES, OTHER THAN THOSE PRINCIP",146,190,155,96,1.1,1.3,1.2,0.8
Export,IA,24,843680,"AGRICULTURAL, HORTICULTURAL, FORESTRY, BEE-KEEPING",135,138,106,96,1.0,1.0,0.8,0.8
Export,IA,25,720851,"FLAT-ROLLED PRODUCTS OF IRON OR NONALLOY STEEL,WID",77,66,64,92,0.6,0.5,0.5,0.7
Import,IA,-1,0,Total_25,2598,3418,3429,2783,28.4,31.9,34.1,31.0
Import,IA,1,870120,ROAD TRACTORS FOR SEMI-TRAILERS,131,427,654,405,1.4,4.0,6.5,4.5
Import,IA,2,840890,COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON EN,215,238,260,211,2.3,2.2,2.6,2.4
Import,IA,3,843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES",223,275,260,179,2.4,2.6,2.6,2.0
Import,IA,4,310420,POTASSIUM CHLORIDE,182,175,156,152,2.0,1.6,1.6,1.7
Import,IA,5,842952,"MECHANICAL SHOVELS, EXCAVATORS AND SHOVEL LOADERS",177,167,179,144,1.9,1.6,1.8,1.6
Import,IA,6,760110,"ALUMINUM, NOT ALLOYED, UNWROUGHT",159,121,74,115,1.7,1.1,0.7,1.3
Import,IA,7,870829,PARTS AND ACCESSORIES OF BODIES (INCLUDING CABS) F,106,158,142,115,1.2,1.5,1.4,1.3
Import,IA,8,841290,"PARTS FOR ENGINES AND MOTORS, NESOI",64,146,159,109,0.7,1.4,1.6,1.2
Import,IA,9,350300,GELATIN (INCLUDING GELATIN IN RECTANGULAR OR SQUAR,78,89,91,102,0.9,0.8,0.9,1.1
Import,IA,10,100490,"OATS, OTHER THAN SEED",90,109,111,101,1.0,1.0,1.1,1.1
Import,IA,11,271121,"NATURAL GAS, GASEOUS",158,208,172,98,1.7,1.9,1.7,1.1
Import,IA,12,870899,"PARTS AND ACCESSORIES FOR MOTOR VEHICLES, NESOI",108,107,111,96,1.2,1.0,1.1,1.1
Import,IA,13,841229,"HYDRAULIC POWER ENGINES AND MOTORS, EXCEPT LINEAR",82,97,85,87,0.9,0.9,0.8,1.0
Import,IA,14,850990,PARTS OF ELECTROMECHANICAL DOMESTIC APPLIANCES WIT,55,65,69,84,0.6,0.6,0.7,0.9
Import,IA,15,10391,"SWINE, LIVE, NESOI, WEIGHING LESS THAN 50 KG (110.",123,117,122,84,1.3,1.1,1.2,0.9
Import,IA,16,843390,"PARTS FOR HARVESTING OR THRESHING MACHINERY, MOWER",60,77,88,80,0.7,0.7,0.9,0.9
Import,IA,17,401693,"GASKETS, WASHERS AND OTHER SEALS, OF VULCANIZED RU",73,91,86,75,0.8,0.8,0.9,0.8
Import,IA,18,760120,"ALUMINUM ALLOYS, UNWROUGHT",188,248,56,75,2.1,2.3,0.6,0.8
Import,IA,19,853710,"BOARDS, PANELS, CONSOLES, ETC. WITH ELECTRICAL APP",125,144,147,74,1.4,1.3,1.5,0.8
Import,IA,20,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",42,79,72,73,0.5,0.7,0.7,0.8
Import,IA,21,847150,DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.,15,80,33,72,0.2,0.7,0.3,0.8
Import,IA,22,981700,IMPORTS OF ARTICLES ADMITTED FREE OF DUTY UNDER SP,11,42,48,66,0.1,0.4,0.5,0.7
Import,IA,23,870422,"MOTOR VEHICLES FOR GOODS TRANSPORT NESOI, WITH COM",52,86,133,63,0.6,0.8,1.3,0.7
Import,IA,24,950300,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELE",84,62,76,62,0.9,0.6,0.8,0.7
Import,IA,25,440719,"OTHER CONIFEROUS WOOD SAWN OR CHIPPED LENGTHWISE,",0,11,44,61,0.0,0.1,0.4,0.7
Export,KS,-1,0,Total_25,6476,6467,6695,6090,57.6,55.8,57.4,58.6
Export,KS,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2580,2245,2283,1626,22.9,19.4,19.6,15.6
Export,KS,2,20130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",809,924,872,879,7.2,8.0,7.5,8.4
Export,KS,3,120190,"SOYBEANS, OTHER THAN SEED",403,489,536,611,3.6,4.2,4.6,5.9
Export,KS,4,100199,"WHEAT AND MESLIN, NOT DURUM WHEAT, OTHER THAN SEED",832,572,566,505,7.4,4.9,4.9,4.9
Export,KS,5,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",218,313,285,307,1.9,2.7,2.4,3.0
Export,KS,6,100590,"CORN (MAIZE), OTHER THAN SEED CORN",218,195,227,283,1.9,1.7,1.9,2.7
Export,KS,7,100790,"GRAIN SORGHUM, OTHER THAN SEED",96,70,158,209,0.9,0.6,1.4,2.0
Export,KS,8,852691,RADIO NAVIGATIONAL AID APPARATUS,126,137,240,160,1.1,1.2,2.1,1.5
Export,KS,9,230910,"DOG AND CAT FOOD, PUT UP FOR RETAIL SALE",163,153,175,131,1.4,1.3,1.5,1.3
Export,KS,10,870323,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,28,43,115,118,0.2,0.4,1.0,1.1
Export,KS,11,40210,"MILK AND CREAM, CONCENTRATED, WHETHER OR NOT SWEET",1,29,60,112,0.0,0.3,0.5,1.1
Export,KS,12,20220,"MEAT OF BOVINE ANIMALS, CUTS WITH BONE IN (OTHER T",95,133,118,107,0.8,1.1,1.0,1.0
Export,KS,13,401180,"NEW PNEUMATIC TIRES, OF RUBBER, OF A KIND USED ON",106,139,129,101,0.9,1.2,1.1,1.0
Export,KS,14,842951,"MECHANICAL FRONT-END SHOVEL LOADERS, SELF-PROPELLE",125,154,116,93,1.1,1.3,1.0,0.9
Export,KS,15,980220,EXPORTS OF MEDICINAL AND PHARMACEUTICAL PRODUCTS D,50,229,107,92,0.4,2.0,0.9,0.9
Export,KS,16,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",53,80,86,90,0.5,0.7,0.7,0.9
Export,KS,17,284210,DOUBLE OR COMPLEX SILICATES,108,104,105,89,1.0,0.9,0.9,0.9
Export,KS,18,220720,"ETHYL ALCOHOL AND OTHER SPIRITS, DENATURED, OF ANY",0,0,0,84,0.0,0.0,0.0,0.8
Export,KS,19,300215,"IMMUNOLOGICAL PRODUCTS, PUT UP IN MEASURED DOSES O",0,10,75,81,0.0,0.1,0.6,0.8
Export,KS,20,410150,"WHOLE HIDES AND SKINS, OF A WEIGHT EXCEEDING 16 KG",208,148,89,72,1.8,1.3,0.8,0.7
Export,KS,21,760612,ALUMINUM ALLOY RECTANGULAR (INCLUDING SQUARE) PLAT,80,84,122,71,0.7,0.7,1.1,0.7
Export,KS,22,230400,SOYBEAN OILCAKE AND OTHER SOLID RESIDUES RESULTING,37,65,54,71,0.3,0.6,0.5,0.7
Export,KS,23,283620,DISODIUM CARBONATE,47,52,76,69,0.4,0.4,0.7,0.7
Export,KS,24,150210,"TALLOW OF BOVINE ANIMALS, SHEEP OR GOATS, OTHER TH",64,55,56,67,0.6,0.5,0.5,0.6
Export,KS,25,382100,PREPARED CULTURE MEDIA FOR DEVELOPMENT OF MICROORG,30,46,44,61,0.3,0.4,0.4,0.6
Import,KS,-1,0,Total_25,3825,4363,4372,3616,35.5,35.5,35.9,34.5
Import,KS,1,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",620,734,856,392,5.7,6.0,7.0,3.7
Import,KS,2,841112,TURBOJETS OF A THRUST EXCEEDING 25 KN,710,656,738,380,6.6,5.3,6.1,3.6
Import,KS,3,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",174,304,402,375,1.6,2.5,3.3,3.6
Import,KS,4,852691,RADIO NAVIGATIONAL AID APPARATUS,526,405,463,295,4.9,3.3,3.8,2.8
Import,KS,5,842951,"MECHANICAL FRONT-END SHOVEL LOADERS, SELF-PROPELLE",158,169,193,232,1.5,1.4,1.6,2.2
Import,KS,6,110900,"WHEAT GLUTEN, WHETHER OR NOT DRIED",159,192,183,148,1.5,1.6,1.5,1.4
Import,KS,7,640391,"FOOTWEAR, WITH OUTER SOLES OF RUBBER, PLASTICS OR",125,117,108,139,1.2,1.0,0.9,1.3
Import,KS,8,830241,"MOUNTINGS, FITTINGS AND SIMILAR ARTICLES NESOI (EX",81,134,112,126,0.7,1.1,0.9,1.2
Import,KS,9,640411,"SPORTS FOOTWEAR, INCLUDING TENNIS SHOES, BASKETBAL",332,293,147,125,3.1,2.4,1.2,1.2
Import,KS,10,848180,"TAPS, COCKS, VALVES AND SIMILAR APPLIANCES FOR PIP",108,156,131,125,1.0,1.3,1.1,1.2
Import,KS,11,841290,"PARTS FOR ENGINES AND MOTORS, NESOI",26,61,33,120,0.2,0.5,0.3,1.1
Import,KS,12,640399,"FOOTWEAR, WITH OUTER SOLES OF RUBBER, PLASTICS OR",62,98,98,118,0.6,0.8,0.8,1.1
Import,KS,13,880240,"AIRPLANES AND OTHER AIRCRAFT NESOI, OF AN UNLADEN",0,111,0,116,0.0,0.9,0.0,1.1
Import,KS,14,901480,"NAVIGATIONAL INSTRUMENTS AND APPLIANCES, NESOI",46,56,90,111,0.4,0.5,0.7,1.1
Import,KS,15,930200,"REVOLVERS AND PISTOLS, DESIGNED TO FIRE LIVE AMMUN",46,64,54,89,0.4,0.5,0.4,0.8
Import,KS,16,842952,"MECHANICAL SHOVELS, EXCAVATORS AND SHOVEL LOADERS",88,86,67,87,0.8,0.7,0.5,0.8
Import,KS,17,760511,"ALUMINUM WIRE OF NONALLOYED ALUMINUM, WITH A MAXIM",0,0,0,79,0.0,0.0,0.0,0.8
Import,KS,18,848340,"GEARS AND GEARING (EXCEPT TOOTHED WHEELS, CHAIN SP",59,83,95,75,0.5,0.7,0.8,0.7
